vehicle_id,lane,frame,timestamp_seconds
3,1,14,0.47
4,1,40,1.33
71,1,51,1.7
2,2,55,1.83
51,3,56,1.87
5,1,62,2.07
85,1,64,2.13
94,3,83,2.77
14,1,100,3.33
18,2,131,4.37
152,2,148,4.93
50,1,149,4.97
195,1,196,6.53
145,1,217,7.23
148,1,248,8.27
271,1,255,8.5
158,1,273,9.1
122,2,280,9.33
322,2,283,9.43
204,1,286,9.53
325,1,288,9.6
326,1,293,9.77
155,2,332,11.07
239,1,335,11.17
246,1,338,11.27
372,1,339,11.3
229,1,362,12.07
418,2,362,12.07
435,1,377,12.57
225,2,383,12.77
301,1,410,13.67
480,1,425,14.17
308,2,435,14.5
353,1,459,15.3
474,1,534,17.8
607,1,540,18.0
550,1,595,19.83
535,1,598,19.93
604,1,642,21.4
613,1,666,22.2
542,2,677,22.57
796,2,734,24.47
680,1,736,24.53
658,2,741,24.7
776,1,799,26.63
886,1,800,26.67
893,1,805,26.83
900,1,807,26.9
743,1,816,27.2
913,1,822,27.4
914,1,823,27.43
926,1,837,27.9
934,3,855,28.5
827,1,868,28.93
695,2,905,30.17
979,2,906,30.2
986,2,918,30.6
869,1,946,31.53
1031,3,994,33.13
1058,2,1010,33.67
1080,2,1022,34.07
1098,2,1036,34.53
884,1,1047,34.9
1101,3,1053,35.1
1122,1,1054,35.13
1175,1,1083,36.1
1208,1,1095,36.5
1229,1,1107,36.9
1223,1,1111,37.03
977,1,1112,37.07
1232,1,1113,37.1
1242,1,1120,37.33
1246,2,1126,37.53
1254,2,1132,37.73
873,1,1141,38.03
1285,1,1158,38.6
1288,1,1162,38.73
793,2,1167,38.9
1321,1,1190,39.67
1011,1,1196,39.87
956,1,1202,40.07
1325,3,1206,40.2
1345,1,1214,40.47
983,1,1271,42.37
1090,1,1286,42.87
1244,1,1347,44.9
1429,2,1359,45.3
1432,1,1366,45.53
1435,1,1369,45.63
1353,1,1372,45.73
1443,1,1374,45.8
1419,3,1380,46.0
1455,1,1380,46.0
1460,1,1385,46.17
1463,1,1387,46.23
1485,1,1403,46.77
1331,1,1435,47.83
1540,1,1435,47.83
1619,1,1459,48.63
1389,1,1463,48.77
1553,3,1463,48.77
1388,1,1497,49.9
1683,1,1502,50.07
1699,1,1508,50.27
1711,1,1517,50.57
1721,1,1527,50.9
1726,1,1534,51.13
1728,1,1538,51.27
1714,3,1541,51.37
1404,1,1543,51.43
1748,1,1562,52.07
1751,3,1564,52.13
1412,1,1586,52.87
1747,3,1594,53.13
1641,1,1605,53.5
1807,1,1618,53.93
1810,1,1626,54.2
1813,1,1629,54.3
1819,1,1635,54.5
1700,1,1665,55.5
1456,1,1687,56.23
921,2,1694,56.47
1891,2,1694,56.47
1741,1,1715,57.17
1919,2,1736,57.87
908,2,1760,58.67
1784,1,1762,58.73
1903,2,1768,58.93
1459,1,1796,59.87
1804,1,1821,60.7
2017,1,1825,60.83
2032,1,1839,61.3
1797,2,1844,61.47
2040,1,1848,61.6
2047,1,1852,61.73
2103,1,1897,63.23
2119,1,1910,63.67
1912,1,1912,63.73
1949,2,1922,64.07
2161,1,1930,64.33
2175,2,1939,64.63
2201,1,1956,65.2
2210,1,1963,65.43
2217,1,1969,65.63
2230,1,1976,65.87
2255,2,1992,66.4
1963,2,1999,66.63
2067,1,2008,66.93
2300,1,2033,67.77
2191,1,2051,68.37
2006,2,2054,68.47
2337,2,2055,68.5
2348,2,2062,68.73
2355,1,2089,69.63
2388,2,2093,69.77
2099,2,2100,70.0
2421,1,2116,70.53
2459,1,2140,71.33
2152,1,2150,71.67
2420,1,2150,71.67
2187,2,2151,71.7
2460,1,2161,72.03
2497,1,2170,72.33
2242,2,2210,73.67
2553,1,2216,73.87
2082,1,2235,74.5
2568,1,2235,74.5
2581,1,2244,74.8
2292,1,2245,74.83
2361,2,2266,75.53
2613,1,2278,75.93
2158,1,2294,76.47
2635,1,2294,76.47
2398,1,2295,76.5
2657,1,2314,77.13
2681,1,2334,77.8
2684,1,2339,77.97
2417,1,2353,78.43
2709,1,2365,78.83
2473,1,2435,81.17
2729,1,2464,82.13
